videoId,textDisplay,cleanedData,likeCount,publishedAt,updatedAt,commentId
wUn05hdkhjM,"so technically, Peter&#39;s mother was f**ked by a planet....",so technically peters mother was fked by a planet,0,2017-03-03T06:45:10Z,2017-03-03T06:45:10Z,Ugi_XDfOc2wnlHgCoAEC
wUn05hdkhjM,THE HYPE IS REAL,the hype is real,0,2017-03-03T05:35:47Z,2017-03-03T05:35:47Z,Ugi2i22A7GKGY3gCoAEC
wUn05hdkhjM,"<a href=""http://www.youtube.com/watch?v=wUn05hdkhjM&amp;t=1m28s"">1:28</a> star-lord straight dumping on someone. sick AF",128 starlord straight dumping on someone sick af,0,2017-03-03T04:10:33Z,2017-03-03T04:10:33Z,UgjQ0bHLH1kuO3gCoAEC
wUn05hdkhjM,"So, are the golden guys supposed to be the Church of Universal Truth?",so are the golden guys supposed to be the church of universal truth,0,2017-03-03T03:35:30Z,2017-03-03T03:35:30Z,UggpbyamQoG1BHgCoAEC
wUn05hdkhjM,Why can&#39;t D.C. Make a green lantern corp movie this good.,why cant dc make a green lantern corp movie this good,0,2017-03-03T02:48:18Z,2017-03-03T02:48:18Z,Uggq3ecdyEh-T3gCoAEC
wUn05hdkhjM,I&#39;m kinda hoping we get some kind of Thing easter egg now,im kinda hoping we get some kind of thing easter egg now,0,2017-03-03T01:55:46Z,2017-03-03T01:55:46Z,UgiGpzYh1qer73gCoAEC
wUn05hdkhjM,What did nebula yell out when she was in the Milano? It sounded an awful lot like &quot;PHINEAS!&quot;,what did nebula yell out when she was in the milano it sounded an awful lot like phineas,0,2017-03-03T01:46:59Z,2017-03-03T01:46:59Z,Ugi-Azl9NOepQngCoAEC
wUn05hdkhjM,"im was expecting it to be a thanos -ish movie, turns out im wrong.",im was expecting it to be a thanos ish movie turns out im wrong,0,2017-03-03T01:24:17Z,2017-03-03T01:24:17Z,Ugjm7MhFqgNkAHgCoAEC
wUn05hdkhjM,"im was expecting it to be a thanos -ish movie, turns out im wrong.",im was expecting it to be a thanos ish movie turns out im wrong,0,2017-03-03T01:24:01Z,2017-03-03T01:24:01Z,UghSiC_Sq7jY6ngCoAEC
wUn05hdkhjM,KURT RUSSELL IS EGO!!! I will be very disappointed if we don&#39;t see him as a planet in the movie. VERY DISAPPOINTED.,kurt russell is ego i will be very disappointed if we dont see him as a planet in the movie very disappointed,0,2017-03-03T01:19:47Z,2017-03-03T01:19:47Z,UgiqCNVzsD09bngCoAEC
wUn05hdkhjM,FLEETWOOD MAC!,fleetwood mac,0,2017-03-03T01:18:56Z,2017-03-03T01:18:56Z,UgizM93tNPYkWXgCoAEC
wUn05hdkhjM,Song?????,song,0,2017-03-03T01:12:08Z,2017-03-03T01:12:08Z,UgjAMYFDfEZI03gCoAEC
wUn05hdkhjM,Suicide Squad SUCK!!!<br>Guardians of the Galaxy RULES!!!!!!!!!!!!!,"suicide squad suck
guardians of the galaxy rules",1,2017-03-03T01:09:12Z,2017-03-03T01:09:12Z,UghYsrlzM4WMfXgCoAEC
wUn05hdkhjM,What&#39;s the name of the song?,whats the name of the song,0,2017-03-03T00:56:58Z,2017-03-03T00:56:58Z,UghLduxG6xIJoXgCoAEC
wUn05hdkhjM,This advertisement is fracking awesome,this advertisement is fracking awesome,0,2017-03-03T00:40:41Z,2017-03-03T00:40:41Z,UgidTq7gSShIDngCoAEC
wUn05hdkhjM,ok first there was this song and this version is AWESOME!!!,ok first there was this song and this version is awesome,0,2017-03-03T00:33:28Z,2017-03-03T00:33:28Z,UghzOZ6y0SnnFXgCoAEC
